32//1, 0.0, 0.00017519856255510704
30//1, 0.00020946164574198178, 0.00016715004139067834
28//1, 1.3826938257466281e-5, 0.00018576667743373877
26//1, 0.00033268962992138995, 0.0001762900462404634
24//1, -9.866185592244392e-5, 0.00018155832785422102
22//1, 2.554234012208667e-5, 0.0001686148522975389
20//1, -0.00011702606500207935, 0.00017177853132150026
18//1, 2.0917580226154087e-5, 0.00015455123250351373
16//1, 0.00014152370054887342, 0.00015301389566877116
14//1, 0.00017380013631651536, 0.00017824343680787838
12//1, 0.00023347964166475776, 0.00016573117291076485
10//1, 0.00015574664480411116, 0.0001660165257077225
8//1, 0.00011262383792853825, 0.0001640402915206863
6//1, -0.000678674726870554, 0.00015795242332854146
4//1, 0.00048630401060023587, 0.0001834677460894048
2//1, 0.0010075959566897552, 0.0001456938490294468
0//1, 0.0036798478263300183, 9.846470442230668e-5
