21//1, 0.0, 0.00012041396728900806
19//1, -1.9346101741035682e-5, 0.00012966959348073364
17//1, -5.740043306445841e-5, 0.00010229728830425368
15//1, -0.00014871353147327682, 9.147728657771167e-5
13//1, -0.00013260671646975197, 8.755573703180425e-5
11//1, -0.00010877467970971111, 8.642735133485795e-5
9//1, -0.00010308444610274137, 9.513177542581143e-5
7//1, 5.8435717477323124e-5, 8.505334653478801e-5
5//1, -0.00047964428939906156, 9.326978173584975e-5
3//1, 0.0013013734452336223, 8.94653701080012e-5
1//1, -0.0002783807077442191, 4.5596295083340475e-5
